# Generated from planning.roadmap_data; do not edit directly.
id,milestone,title,status,estimate_hours,requirement_ids,depends_on
0.1,M0,Write or verify failing configuration scenarios,in-progress,4,R-1 R-2,
0.2,M0,Deliver layered configuration and frozen-key mechanism,done,8,R-1 R-2,
0.3,M0,Deliver committed shared fail-closed foundations,done,4,,
0.4,M0,Record archive gap and re-baseline,done,2,,
0.5,M0,Update M0 traceability,todo,2,R-1 R-2,0.1
1.1,M1,Write failing contract-control tests,in-progress,8,R-18 R-3 R-4 R-8 R-9,
1.2,M1,Implement core contract-control modules,in-progress,16,R-18 R-3 R-4 R-8 R-9,1.1
1.3,M1,Update M1 traceability,todo,4,R-18 R-3 R-4 R-8 R-9,1.2
2.1,M2,Write failing traceability and projection tests,in-progress,6,R-5 R-6 R-7,
2.2,M2,Implement traceability lint and projections,in-progress,10,R-5 R-6 R-7,2.1
2.3,M2,Update M2 traceability,todo,4,R-5 R-6 R-7,2.2
3.1,M3,Write failing edge-AI evidence-gate tests,in-progress,10,R-10 R-11 R-12,
3.2,M3,Implement edge-AI evidence gates and examples,in-progress,18,R-10 R-11 R-12,3.1
3.3,M3,Update M3 traceability,todo,4,R-10 R-11 R-12,3.2
4.1,M4,Write failing safety and HIL tests,in-progress,10,R-13 R-14 R-15,
4.2,M4,Implement safety-envelope and HIL gates,in-progress,14,R-13 R-14 R-15,4.1
4.3,M4,Update M4 traceability,todo,4,R-13 R-14 R-15,4.2
5.1,M5,Write failing publication and non-commanding-boundary tests,in-progress,6,R-16 R-17,
5.2,M5,"Integrate hooks, CI, skills, and peer review",in-progress,10,R-16 R-17,1.2 2.2 3.2 4.2 5.1
5.3,M5,Update final traceability and regenerate projections,todo,4,R-16 R-17,5.2
